City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
156,Wamba,NG,2020-04-17 19:29:21,8.93,8.6,89.44,38,2,5.44,clear sky,0.000,0
157,Ust-Nera,RU,2020-04-17 19:30:53,64.57,143.2,-3.08,78,100,8.95,overcast clouds,0.000,0
158,Kavieng,PG,2020-04-17 19:30:13,-2.57,150.8,81.66,75,100,4.81,overcast clouds,0.000,0
159,Aklavik,CA,2020-04-17 19:30:55,68.22,-135.01,30.2,80,90,6.93,shower rain,0.000,0
160,Mildura,AU,2020-04-17 19:26:17,-34.2,142.15,51.8,81,0,3.36,clear sky,0.000,0
161,Minas,UY,2020-04-17 19:30:56,-34.38,-55.24,66.2,88,20,10.29,few clouds,0.000,0
162,Tabou,CI,2020-04-17 19:30:58,4.42,-7.35,80.85,87,95,11.05,moderate rain,4.850,0
163,Pisco,PE,2020-04-17 19:30:58,-13.7,-76.22,80.6,57,61,20.8,broken clouds,0.000,0
164,Lebedinyy,RU,2020-04-17 19:30:59,58.52,125.52,0.93,85,96,2.77,light snow,0.000,0
165,Komatipoort,ZA,2020-04-17 19:31:00,-25.43,31.95,66.99,92,7,2.01,clear sky,0.000,0
166,Ponta Do Sol,PT,2020-04-17 19:28:39,32.67,-17.1,63.0,62,41,5.99,light rain,0.640,0
167,Vanderhoof,CA,2020-04-17 19:31:01,54.02,-124.02,44.44,70,100,8.12,light rain,0.810,0
168,Correntina,BR,2020-04-17 19:31:02,-13.34,-44.64,74.62,72,5,4.97,clear sky,0.000,0
169,Mangan,IN,2020-04-17 19:31:02,27.52,88.53,66.79,43,100,3.83,moderate rain,4.340,0
170,Port Alfred,ZA,2020-04-17 19:26:06,-33.59,26.89,64.99,93,28,5.01,scattered clouds,0.000,0
171,Acapulco,MX,2020-04-17 19:31:03,16.86,-99.89,87.8,52,5,10.29,smoke,0.000,0
172,Oktyabrskoye,RU,2020-04-17 19:31:05,43.06,44.74,48.04,40,88,3.74,overcast clouds,0.000,0
173,Leo,BF,2020-04-17 19:31:05,11.1,-2.1,91.76,11,8,4.5,clear sky,0.000,0
174,Pangkalanbuun,ID,2020-04-17 19:31:05,-2.68,111.62,76.77,92,100,1.45,light rain,1.210,0
175,Hollola,FI,2020-04-17 19:31:06,61.05,25.43,37.0,73,97,3.0,overcast clouds,0.000,0
176,Vila Do Maio,CV,2020-04-17 19:31:08,15.13,-23.22,75.2,53,20,21.92,few clouds,0.000,0
177,Clyde River,CA,2020-04-17 19:31:09,70.47,-68.59,10.4,85,75,19.46,broken clouds,0.000,0
178,Batamshinskiy,KZ,2020-04-17 19:31:11,50.56,58.27,46.4,87,75,13.42,broken clouds,0.000,0
179,Kirakira,SB,2020-04-17 19:31:12,-10.45,161.92,80.71,78,99,3.44,light rain,2.000,0
180,San Andres,CO,2020-04-17 19:31:13,12.58,-81.7,87.8,58,20,13.87,few clouds,0.000,0
181,Hvide Sande,DK,2020-04-17 19:31:14,56.0,8.13,46.99,52,0,15.17,clear sky,0.000,0
